lat,lon,dia
-10.48,14.41,83.81
-20.69,5.1,124.7
7.22,38.3,84.51
-31.35,97.99,3.46
-28.48,-41.51,123.14
-12.58,-159.84,94.21
35.5,-122.72,12.19
-46.83,31.42,61.37
17.56,-21.75,93.97
-40.93,-49.12,35.65
10.24,97.09,259.97
-38.56,-91.89,72.28
-33.21,-156.15,107.51
-79.57,-87.18,137.31
4.38,69.95,32.15
5.57,169.54,97.1
64.12,103.11,48.96
44.68,179.46,49.97
-30.12,-31.71,36.83
60.87,-121.71,61.56
20.99,99.02,22.45
17.28,58.38,6.15
21.5,-72.02,36.6
24.88,99.27,1.07
-25.77,102.33,77.05
48.72,10.64,83.71
40.82,-172.27,52.66
-22.63,-78.42,114.45
-63.21,-142.51,13.71
23.97,64.8,41.01
16.6,-88.65,72.77
-5.06,110.06,88.89
-35.4,-29.81,24.38
-25.44,-120.39,82.78
54.93,-108.05,54.7
-10.23,84.18,23.4
9.01,-100.64,44.52
62.76,-176.51,57.83
4.57,-36.68,76.33
53.61,56.48,50.54
5.39,-159.47,116.9
-35.61,134.43,32.96
67.5,-4.62,51.99
-40.92,-30.33,78.37
14.47,-11.32,75.8
86.99,28.62,10.98
5.68,98.54,9.93
21.47,42.06,49.22
47.41,-141.83,72.79
28.15,109.34,36.87
-7.4,-29.56,52.94
76.26,30.57,51.03
44.27,16.23,144.32
23.26,-29.18,121.52
-9.63,-133.78,97.03
34.57,-153.04,84.38
35.3,-159.51,39.8
7.69,121.46,83.85
18.66,29.27,38.08
-42.75,41.84,40.54
43.07,100.68,14.73
13.12,61.71,9.64
-26.07,102.95,59.69
-42.45,8.75,35.46
-87.18,84.31,42.67
6.23,-20.14,0.1
-21.39,3.81,62.13
-58.25,125.03,50.87
28.23,-37.05,79.27
25.09,-25.38,41.79
-44.94,-105.06,32.12
30.73,140.5,70.61
-22.71,19.79,9.87
-19.61,123.24,64.8
-38.18,4.86,105.39
17.9,-126.06,18.49
-23.16,135.14,60.58
27.37,-9.46,82.44
86.14,37.13,71.91
23.58,21.27,68.37
-42.29,-177.72,10.17
7.25,63.43,17.23
4.2,112.7,61.28
7.99,142.44,25.11
26.67,-172.14,10.48
-58.19,-134.11,45.52
-3.33,-3.73,1.62
-4.49,-44.34,27.76
14.91,109.28,113.77
25.45,131.85,75.08
87.04,-19.75,51.25
-33.7,-93.91,19.96
-16.04,-56.79,126.64
63.42,-18.96,51.31
23.59,-141.49,64.85
50.46,-39.86,47.62
-30.31,-53.1,29.85
42.59,-145.27,43.28
0.47,98.14,108.65
-6.06,-16.97,22.16
-21.36,33.07,17.88
22.59,35.56,44.43
38.73,47.64,70.81
16.57,40.24,155.66
-39.52,59.06,71.79
18.37,46.55,65.83
25.79,-52.4,16.8
25,170.89,162.56
-12.48,-126.88,49.14
80,-111.63,117.85
37.41,-118.9,24.07
-21.25,-101.65,27.5
-36,60.54,29.52
-34.78,23.46,53.77
-13.5,-179.87,0.56
14.78,-159.63,89.37
26.96,-55.16,89.85
-41.23,-148.08,24.09
-40.02,145.04,84.06
-32.96,-31.87,4.35
-3.87,71.49,152.67
-22.41,151.75,7.15
-12.5,-1.97,43.7
44.65,114.5,128.42
29.12,89.45,0.82
38.95,-114.63,91.65
-2.45,0.73,24.49
9.76,123.99,11.43
-28.28,-1.09,67.66
54.04,-87.88,46.85
-30.48,47.95,41.67
-47.69,60.42,166.12
6.92,-54.98,181.15
3.28,-22.86,60.83
51.31,-78.41,38.98
-34.15,-150.84,103.37
2.86,71.9,3.08
0.03,4.92,15.98
-37.1,47.17,49.98
-2.9,-74.42,48.03
-37.02,26.43,15.55
74.92,177.05,77.88
7.7,140.09,9.6
30.93,99.89,29.75
-48.89,-140.05,97.67
39.38,87.18,74.57
-11.13,8.48,31.42
-74.25,107.07,103.34
1.96,19.17,1.86
-15.37,92.38,1.83
19.03,27.45,55.09
70.66,-174.25,62.24
21.84,-105.37,8.8
59.06,-46.03,7.38
-12.89,-72.89,71.33
28.91,-45,81.74
-42.37,136.54,44.38
7.53,122.68,54.56
25.43,36.41,86.4
32.88,-91.42,56.74
20.31,-32.3,4.69
-55.49,43.15,110.07
11.67,21.74,24.2
-17.95,34.98,212.18
-40.82,130.68,179.36
-56.42,-33.84,62.82
-30.81,27.7,97.28
56.98,-162.48,77.4
84.99,-157.89,87.55
-28.81,-169.8,11.13
-2.43,86.81,56.87
26.51,-75.55,85.8
28.71,-45.06,24.57
10.56,137.09,52.09
-61.15,-12.25,316.39
-46.43,-96.43,36.67
-43.87,143.3,51.94
46.78,-103.73,61.31
13.19,79.01,100.08
1.38,20.07,25.47
-23.75,16.64,211.42
4.49,102.8,41.53
10.44,176.7,54.93
-1.69,103.04,107.82
28.5,-34.29,99.5
29.58,-16.53,22.13
32.38,-139.21,63.8
-20.99,44.06,8.28
27.79,4.75,17.28
24.75,21,67.84
49.12,-121.14,55.39
-39.28,-9.44,45.01
-4.26,8.72,47.57
-43.38,-3.88,102.63
-27.26,109.14,20.92
-26.33,117.71,15.99
-9.45,-37.85,48.47
-60.35,-27.81,24.82
23.38,-58.82,75.12
-44.38,-55.11,37.61
-51.72,-39.78,24.05
69.04,158.24,92.9
47.12,-138.98,23.67
-1.99,155.12,18.8
-5.93,-83.39,46.52
0.96,18.78,48.13
41.34,-163.73,51.82
-76.64,24.69,67.94
44.76,-98,74.36
-19.45,89.8,37.73
-74.73,132.93,14.67
2.74,-6.98,62.7
2.78,81.01,66.94
42.42,60.81,97.67
4.44,146.42,12.56
65.1,45.48,68.89
70.08,121.57,11.67
-31.36,-149.64,44.17
77.73,14.13,35.6
-82.35,48.52,1.59
73.74,147.23,125.55
2.4,43.56,25.12
-6.97,-143.09,0.1
-2.22,3,74.65
46.99,127.52,12.15
-58.96,-48.68,32.87
-32.65,152.47,6.04
21.09,-66.66,84.26
26.71,79.81,85.98
29.26,114.34,41.13
-89.67,129.78,40.79
7.58,122.42,17.08
-32.89,-85.27,150.89
9.35,56.83,27.97
12.37,173.1,1.9
45.75,-40.22,16.99
24.26,140.48,119.04
32.52,172.42,30.86
59.24,17.04,88.19
-11.13,118,25.57
75.78,104.13,13.21
-12.18,128.56,66.74
-88.14,45.91,68.48
-74.54,-7.68,47.72
19.38,-116.82,38.94
42.65,52.71,129.74
-27.11,-92.67,112.18
22.05,135.08,30.72
-26.93,154.81,63.28
-65.89,103.65,36.61
6.21,12.53,0.42
-72.61,14.74,32.29
8.85,31.6,109.8
-12.49,-60.51,63.12
41.07,109.13,71.54
4.61,120.7,13.77
-18.04,96.15,43.76
-88.08,111.29,129.87
38.3,-35,53.85
49.28,160.27,42.43
-3.15,89.07,47.51
-31.79,-151.01,68.62
2.38,53.64,54.72
60.22,-96.91,69.76
-29.33,55.7,58.52
-22.29,-168.84,62.17
0.45,121.77,164.34
-8.33,64.96,71.66
64.83,-161.54,8.39
0.19,-7.53,11.61
-12.87,-1.63,52.87
8.7,17.6,41.04
57.58,-50.94,0.95
-46.38,24.73,15.34
13.06,165.84,32.83
-4.3,-1.77,42.18
27.91,-1.27,24.85
10.07,149.98,10.06
10.48,-13.77,59.28
-25.43,134.59,127.22
34.68,162.6,33.15
64.36,-142.64,42.58
46.33,-108.77,39.81
7,179.11,6.43
-48.71,46.66,0.48
-36.73,-105.05,8.19
19.91,29.76,12.36
32.61,161.78,40.54
-19.75,-142.27,28.07
-39.58,-118.2,57.32
-32.49,54.14,36.35
2.15,66.98,33.99
-34.49,31.99,62.31
-41.24,5.93,43.19
52.36,-88.11,59.95
44.82,-155.5,31.33
-55.58,-156.38,41.15
57.14,146.65,30.75
61.94,54.42,13.45
-5.6,164.7,24.59
-46.58,-10.74,54.64
-21.74,-132.37,8.28
23.41,-76.65,17.61
-29.32,135.71,18.02
4.36,-47.72,98.59
19.63,11.68,8.03
37.62,108.76,35.67
10.76,-91.69,66.39
-11,-6.3,117.25
-81.68,65.15,0.47
-88.32,-153.39,86.43
51.96,112.52,83.97
-5.46,89.67,38.23
19.35,53.44,32.81
82.65,-81.22,52.15
33.71,105.78,34.14
-57.58,174.77,53.75
5.56,54.74,34.63
-34.63,85.78,68.42
-20.99,11.89,29.61
20.11,27.82,13.03
0.96,116.63,30.87
-13.87,13.91,7.05
-5.65,60.14,17.68
-31.89,68.39,44.16
87.96,-109.69,24.97
-19.85,-31.11,8.5
4.1,10.47,76.17
-18.14,5.61,159.95
-16.44,172.96,65.59
20.01,-31.76,44.21
-10.93,-6.17,184.39
14.34,20.25,28.53
-11.24,4.01,6.78
38.3,-35,11.22
18.07,92.62,85.29
-23.51,111.11,20.94
-48.63,-177.88,21.71
1.41,22.09,57.04
-67.94,-131.85,39.29
40.25,13.69,8.12
-5.42,18.97,0.1
15.91,71.83,65.06
-30.6,5.13,22.92
7.02,107.01,9.08
-16.85,15.14,240.47
-10.45,55.77,43.42
29.79,-53.88,25.18
-16.05,-4.51,113.37
-13.39,-2.85,44.37
18.74,-107.8,46.42
3.3,57.04,46.16
-10.06,-172.23,33.48
-8.52,-0.83,31.06
-5.34,46.78,107.3
-84.44,83.07,93.52
73.48,-10.17,44.99
66.97,-51.44,0.1
72.49,-44.98,98.22
-10.41,12.38,73.51
-41.31,-143.3,141.21
15.5,170.79,88.69
-49.95,-95.46,100.74
-22.68,146.11,2.27
20.48,-32.34,91.97
29.9,-41.67,1.54
25.11,-0.05,172.76
29.43,-25.64,4.65
-12.92,79.72,64.65
-69.3,-173.06,97.81
-48.85,101.66,94.29
1.84,49.51,87.16
-26.96,7.87,45.83
-35.69,-151.48,18.83
4.51,60.96,39.65
37.05,158.17,42.51
6.15,21.43,30.94
23.58,4.51,0.2
29.72,-3.99,26.94
58.87,4.99,89.21
-16.55,5.8,26.3
4.55,17.28,40.84
23.73,-47.49,117.15
33.88,1.21,55.1
50.24,17.32,13.46
-16.36,154.22,37.65
1.35,24.94,96.25
66.98,35.83,61.83
-55.58,-91.45,53.89
25.44,103.79,186.35
10.4,-145.22,74.83
25.03,-25.36,83.41
27.61,-36.63,49.37
6.2,35.17,170.53
-18.26,-1.93,32.94
7.25,49.9,25.71
-55.19,25.52,5.74
-81.1,-110.58,1.26
32.77,-87.68,134.23
46.74,44.38,53.28
-5.88,57.78,11.45
30.68,1.49,84.69
15,17.12,34.51
10.21,64.01,74.91
-1.32,81.37,59.43
39.63,-97.28,66.54
63.21,165.36,15.55
-22.19,12.7,21.41
-44.75,-82.03,43.95
-20.81,123.26,95.78
59.56,-57.38,31.32
4.13,94.14,34.85
1.2,80.67,32.01
-16.22,103.35,66.56
-51.04,19.1,70.59
74.61,37.35,52.44
-66.82,-68.9,122.82
49.78,30.56,13.05
-18.94,152.58,14.53
19.24,-83.31,42.34
-53.32,-151.96,9.77
-35.92,-8.39,52.88
-20.27,70.22,40.82
5.28,80.01,113.39
28.07,-6.43,12.31
26.58,16.43,100.83
-23.85,157.93,59.44
-10.67,67.22,36.36
-29.79,85.95,66.8
-44.98,16.81,66.57
-28.22,-150.43,22.85
71.28,7.59,63.93
24.51,-89.85,17.25
-25.28,102.56,28.07
-51.62,-35.14,25.74
37.11,86.58,9.64
-18.08,28.82,44.5
40.79,129.5,84.15
-2.57,125.07,40.16
27.07,-9.1,21.78
-16.61,79.41,58.38
-13.4,151.84,86.77
16.23,29.18,103.4
24.67,2.27,117.57
61.53,90.15,25.5
21.98,-96.53,101.49
-60.72,-164.85,35.92
-12.48,48.19,77.46
-17.25,-128.23,7.87
23.1,143.11,34.94
4.35,141.54,0.5
6.97,137.49,71.44
-18.72,176.44,68.54
25.13,-105.24,78.92
-63.04,-163.61,11.19
34.93,60.61,39.5
33.5,69.99,10.27
36.55,50.95,186.56
14.85,-37.31,53.95
21.73,17.92,66.78
-63.4,-45.16,50.68
-55.5,-165.31,38
48.78,-34.37,33.36
-54.99,51.63,82.07
-5.83,56.34,4.56
-13.83,-50.24,0.42
8.02,115.05,47.69
-22.7,51.08,66.88
-30.17,174.01,63.18
58.45,-145.65,35.29
65.12,-10.7,126.06
-22.36,-8.59,19.05
78.35,148.46,65.66
-38.5,113.69,261.83
-9.2,80.39,9.18
-37.55,-115.84,15.99
1.22,1.46,20.96
-63.77,-21.63,231.97
-58.25,-93.5,76.83
-25.32,2.44,24.68
31.37,-147.86,113.92
53.04,-13.78,42.11
19.63,15.44,77.52
26.7,-132.12,81.05
6.71,-2.45,17.62
5.57,72.33,101.79
-72.9,43.26,111.39
-16.24,40.06,2.02
12.71,-86.52,33.14
-20.26,-171.58,79.64
-74.82,-90.41,170.72
-33.85,126.12,61.62
5.28,56.19,25.4
-17.24,136.89,44.68
-8.38,-17.33,36.63
63.79,-87.29,17.39
-25.2,46.52,81.98
22.37,26.42,88.54
30.53,-33.5,0.2
-39.06,-148.25,98.78
-6.05,66.83,90.19
38.3,-35,47.2
86.82,133.54,78.76
9.71,11.01,100.25
-53.95,-169.36,63.9
45.75,88.68,53.23
52.32,-35.82,42.47
-70.21,53.73,22.13
-24.97,103.07,15.92
17.63,9.1,15.24
-53.29,177.89,38.96
17.84,23.54,40.1
42.33,-103.44,73.04
-73.54,-171.57,93.18
-81.82,158.88,34.25
20.9,-36.94,115.26
17.25,-158.37,5.58
-48.31,18.31,35.47
-39.09,39.11,37.86
23.27,34.69,44.09
74.75,-88.36,9.41
43.39,136.98,32.99
26.45,-69.19,1.49
-49.2,68.76,34.98
25.9,-134.67,36.16
-35.82,-124.75,36.95
-46.53,-17.99,14.27
1.16,0.37,68.28
-9.86,90.91,63.9
-38.9,17.68,36.72
-40.64,-133.53,173.49
-1.47,112.95,12.95
-20.75,-22.26,59.82
41.4,-85.46,36.78
31.11,56.39,28.55
45.07,28.21,91.5
-13.92,7.25,14.98
-38.04,19.96,60.75
12.05,-108.81,19.79
20.86,174.82,56.75
85.43,10.07,45.05
-24.73,-65.38,54.55
15.54,-29.17,70.65
5.08,85.82,37.03
-16.2,18.95,98.28
16.64,19.2,48.15
44.15,-19.49,108.9
24.7,2.2,56.79
-2.47,85.3,79.55
-4.32,146.38,57.52
-56.44,21.92,87.49
5.5,46.54,21.33
-5.28,16.65,70.56
9.46,53.52,40.26
31.96,-136.28,84.42
3.76,11.86,31.77
-9.58,134.66,34.59
28.21,143.84,57.45
38.36,124.73,59.54
61.74,50.27,41.18
-30.6,145.63,44.99
37.01,6.06,14.98
-22.01,-4.02,22.57
13.36,82.85,29.77
-2.41,15.79,18
-0.81,15.42,337.14
-11.45,26.28,63.45
17.46,39.06,1.43
40.17,-134.56,39.77
74.86,-169.5,52.77
-32.32,166.04,63.29
44.1,-19.45,78.46
24.2,161.33,59.98
61.66,172.29,82.08
-52.85,-133.11,66.57
62.91,-0.55,30.15
-5.09,-147.15,163.24
26.72,-13.1,51.42
6.89,176.7,28.15
21.41,48.17,86.21
-26.75,100.66,37.98
28.55,150.29,164.46
-9.52,-15.98,133.67
-4.72,28.4,74.14
27.96,-47.61,157.38
3.42,63.19,6.86
28.32,52.85,64.87
4.18,3.6,13.69
49.37,5.79,61.93
29.33,167.14,23.74
5.39,-149.69,33.31
-48.66,142.64,26.72
56.54,175.71,110.16
-20.38,128.97,43.49
17.16,145.16,16.63
-5.62,88.21,39.06
-1.4,-13.24,41.73
-43.3,-11.22,68.74
-35.2,117.64,85.74
7.71,1.37,68.32
32.67,-81.96,14.86
27.93,87.43,15.92
25.9,-47.9,108.64
38.3,-35,35.87
6.65,174.26,28.1
9.36,64.35,39.09
28.77,-45.59,82.94
-27.04,172.01,536.37
30.91,-159.21,43.24
-5.26,145.95,90.44
-43.56,119.98,113.87
15.42,160.27,49.99
36.03,128.18,46.45
52.47,146.37,16.66
-1.77,78.2,173.24
-62.5,119.06,122
61.75,-132.68,15.86
13.78,-83.94,28.5
43.65,93.01,13.35
38.3,-35,57.36
-0.87,-138.77,143.95
-45.41,63.27,59.24
-16.46,61.55,145.21
-0.1,162.51,44.46
-4.77,157.97,38.39
26.33,-43.71,16.81
23.11,130.43,47.6
24.95,-25.38,37.77
-19.3,171.12,113.6
25.62,25.35,34.35
-3.23,114.79,87.84
33.87,93.68,2.85
9.77,131.08,24.98
-29.31,-56.53,29.65
-5.76,144.39,14.16
9.88,83.77,31.41
15.64,176.74,42.68
-30.42,-37.55,76.84
17.66,31.28,81.84
38.3,-35,65.79
5.16,117.15,4.34
-53.39,38.69,199.46
-15.11,5.83,22.3
-13.62,131.67,31.26
53.9,-84.77,45.17
56.55,131.64,3.48
-81.8,61.87,8.7
-7.75,71.72,38.82
51.92,126.73,1.51
41.04,-78.08,11.98
-24.84,-133.01,11.51
-44.45,176.25,88.29
40.28,153.25,59.69
42.19,-141.93,31.08
27.91,-88.12,93.73
65.41,3.52,37.77
-25.82,-161.92,59.82
20.26,-8.75,0.1
4.89,32.27,12.42
28.04,-33.81,2.98
-33.25,0.62,37.23
-9.96,-138.91,94.6
-83.08,53.79,42.83
-49.53,-60.44,83.95
-3.98,87.35,1.22
-25.7,128.18,94.1
-62.59,-124.05,41.39
-49.6,48.48,0.61
8.84,46.31,3.84
-0.98,60,30.83
50.06,-123.79,154.44
45.21,-113.81,71.38
-1.26,77.15,66.28
-58.39,-39.34,24.21
-27.57,37.06,73.77
-31.76,-19.59,200.65
-28.03,3.29,41.22
-68.88,90.71,81.13
15.97,-120.53,4.46
4.16,13.73,37.77
89.14,120.02,73.66
-44.8,-159.04,0.63
-7.54,-38.13,172.79
-6.09,85.43,7.36
-84.03,164.7,1.22
40.9,146.51,97.52
9.02,75.83,5.12
-43.21,-20.94,145.54
-29.58,19.58,1.8
42.02,37.31,84.72
-20.97,-155.05,53.15
-69.33,-42.83,70.03
42.23,-178.81,54.96
35.4,-105.92,30.85
-10.76,-44.46,34.54
-38.25,31.35,48.65
-22.79,-16.63,3.05
30.6,-46.98,91.4
44.87,-159.83,55.56
43.66,-121.83,12.39
-31.55,-86.74,116.07
-24,152.8,32.3
-23.9,56.62,5.37
-34.04,-16.06,27.99
-1.42,98.1,158.07
57.49,-82.01,94.22
-22.79,122.05,32.75
60.78,127.58,31.67
-54.42,-78.93,29.49
58.16,161.87,55.88
16.96,4.69,91.67
14.6,51.7,55.1
24.56,10.99,45.54
-41.54,50.98,67.79
-60.92,5.25,27.44
-31.94,21.89,41.87
5.51,40.21,76.21
2.93,124.69,6.81
3.96,94.19,11.71
-75.07,-135.06,71.2
-28.74,166.86,24.38
45.15,72.98,68.12
18.34,168.4,121.37
-69.07,-137.82,43.47
-24.84,120.26,55.98
7.55,-167.28,77.47
26.64,-58.86,13.44
44.12,-19.52,94.7
-7.97,18.9,24.03
59.52,-105.3,56.25
-61.38,-50.65,78.78
-17.18,-52.37,0.1
-16.17,167.64,80.43
32.39,36.32,97.97
36.21,-147.36,22.86
-19.66,149.35,27.67
21.95,4.96,68.08
10.48,-62.83,40.49
55.87,22.33,423.41
-13.94,-152.99,14.63
49.51,-84.56,67.91
0.92,-15.24,0.2
65.29,144.65,44.97
-9.64,97,113.71
-79.42,111.17,59.35
-47.21,156.78,51.15
17.75,33.81,21.05
59.24,34.76,61.59
-17.55,-39.96,41.17
30.88,-33.96,61.67
-10.93,37.82,29.37
-33.91,-12.74,22.87
36.01,79.08,19.17
17.41,131.22,46.44
13.88,-20.79,49.83
-19.46,13.85,65.87
-14.39,158.41,16.61
-2.6,76.51,6.28
34.42,56.66,60.46
-34.33,13.37,10.31
38.3,-35,18.27
44.54,-80.51,33.48
-22.95,-123.42,110.96
-36.53,99.53,63.98
-18.37,84.27,10.4
-3.2,76.16,137.35
-63.77,75.95,43.19
14.25,97.4,1.6
83.35,1.76,54.18
35.97,102.89,62.23
13.19,49.34,13.06
11.32,142.67,63.27
-1.85,137.76,16.74
8.11,-77.67,51.98
-10.05,45.03,43.75
15.15,89.13,38.9
1.82,10.16,129.69
73.04,-3.37,2.28
27.78,-59.96,1.44
-25.2,-105.2,12.21
39.75,161.24,130.84
-32.67,14.08,0.1
86.18,-62.31,80.41
-19.26,-17.25,111.44
14.21,35.89,82.12
-3.83,-108.42,2.8
-42.3,-88.71,74.82
-17.04,150.23,94.8
13.18,52.79,20.52
3.69,133.12,34.65
1.76,127.28,79.65
12.5,-130.13,56.25
-5.38,-68.36,47.76
84.54,-75.83,8.57
-46.92,-147.98,2.55
-66.15,128.28,40.02
40.3,32.98,110.54
-67.04,-10.3,64.73
32.89,-39.78,9.2
-11.57,-14.19,52.03
-19.79,117.39,8.55
45.16,-173.38,2.47
44.95,-129.67,103.39
-40.34,88.91,51.9
-8.61,41.25,68.71
-47.76,-94.04,81.12
11.63,117.12,32.93
-5.37,0.23,41.33
40.84,122.63,105.33
83.4,-94.63,13.42
-59.92,46.63,16.57
-48.32,135.95,0.87
31.22,73.55,9.55
-39.18,-25.14,2.12
-41.23,-33.52,1.29
-1.66,84.11,91.42
-74.13,91.71,137.92
33.81,36.75,62.14
-8.05,5.73,10.26
-42.77,84.41,63.44
-56.46,71.38,524.23
14.04,72.54,50.66
-11.53,-52.06,64.59
5.46,143.55,25.51
43.54,-71.66,10.23
-58.77,-176.19,81.04
-2.18,64.09,31.95
40.87,98.74,33.72
-38.31,79.65,10.4
-10.88,-6.07,39.99
52.73,-43.49,54.37
33.2,114.4,87.57
2.71,135.45,26.76
-6.14,-80.47,4.21
19.35,-146.51,93.13
-29.37,62.68,40.93
81.51,133.16,62.45
29.33,-121.92,66.39
-65.11,-88.49,2.28
-87.45,-5.17,7.96
12.68,-176.45,21.89
64.56,83.87,96.99
32.5,-111,12.37
-10.44,166.77,40.56
-22.06,79.68,157.68
-81.77,85.6,44.48
2.87,-76.57,88.12
24.84,-15.37,28.64
-39.48,-17.82,38.88
32.47,-31.98,19.64
22.63,-102.46,32.92
40.43,-23.11,10.73
-32.41,-7.8,72.99
-7.56,87.67,129.84
-68.64,65.34,47.54
4.76,152,57.85
-46.86,-159.97,19.15
-23.97,-57.01,146.56
-23.52,-59.02,95.28
12.7,-152.33,34.63
-49.31,6.42,75.46
46.82,39.21,65.31
-13.36,-33.97,89.44
-0.87,-57.47,300.56
86.17,-93.32,25.68
23.25,-49.84,11.81
0.65,119.88,69.19
-5.69,-2.09,55.76
13.32,104.56,40.31
1.37,-128.66,136.3
-29.42,-16.42,99.09
-54.47,174.19,12.5
2.2,-67.46,5.15
83.09,149.15,65.38
74.76,-144.94,40.9
-39.55,-95.42,115.73
-17.87,108.32,82.72
-51.68,127.74,66.89
20.91,40.81,93.82
-7.92,7.31,54.95
89.41,-51.89,1.57
-24.92,-30.42,48.51
-5.36,4.91,52.61
70.26,-146.54,50.69
-6.01,93.63,62.86
15.04,136.84,66.62
33.51,121.96,9.06
-17.92,-94.26,56.21
-19.19,62.53,76.77
-27.61,151.15,8.3
-54.74,32.93,10.07
41.14,54.86,215.08
-51.01,159.23,86.33
23.8,12.51,63.23
58.8,-40.93,17.5
-3.99,5.85,61.9
6.47,-28,55.9
83.11,98.52,13.83
-9.42,87.38,22.51
-17.25,-123.89,42.98
22.29,86.91,87.62
-41.07,-1.52,93.75
30.73,-56.66,47.3
-27.02,80.96,75.24
-4.68,90.47,48.53
-40.32,-147.84,9.84
37.22,168.68,15.56
20.2,-4.54,71.78
7.76,6.27,70.25
-4.25,22.58,37.59
25.72,-0.39,77.03
-86.3,-75.04,44.55
-6.95,50.44,45.57
6.83,122.3,34.99
14.14,91.14,13.01
-11.69,21.71,81.64
-5.49,-173.26,329.81
-49.32,22.24,89.92
-81.35,112.69,15.81
38.3,-35,55.27
-17.8,-97.68,48.18
18.66,5.3,19.46
26.16,-153.34,145.31
-47.49,-68.95,4.97
27.85,119.31,105.82
-14.38,-129.16,37.46
28.18,-34.07,59.9
-17.57,147.49,51.11
-7.96,33.5,22.85
18.95,27.48,6.04
